O=C(C[1Lu])Nc1noc2c1CC([Lu])CC2 [1Lu] 1.single.ism [0Lu] 1.single.ism
CC(=O)Nc1noc2c1CCC([Lu])([1Lu])C2 [0Lu] 1.single.ism [1Lu] 1.single.ism
CC(=O)Nc1noc2c1C([Re])C([Re])C(=[Hf])C2 [0Hf] 1.double.ism [0Re] 1.single_fusion.ism
CC(=O)N([Lu])c1noc2c1CCC(=[Hf])C2 [0Lu] 1.single.ism [0Hf] 1.double.ism
CC(=O)N([Lu])c1noc2c1CC(=[Hf])CC2 [0Lu] 1.single.ism [0Hf] 1.double.ism
O=C(Nc1noc2c1CCCC2)C([W])[W] [0W] 2.spiro.ism
O=C(C#[Ta])Nc1noc2c1C(=[Hf])CCC2 [0Ta] 1.triple.ism [0Hf] 1.double.ism
CC(=O)N([Lu])c1noc2c1CCCC2 [0Lu] 2.single.ism
CC(=O)Nc1noc2c1CC(=[Hf])C([Re])C2[Re] [0Hf] 1.double.ism [0Re] 1.single_fusion.ism
CC(=O)Nc1noc2c1CC([W])([W])CC2 [0W] 2.spiro.ism
